shipper_id,shipper_name,shipper_phone,shipper_gender,shipper_age,marital_status,education,company,vehicle,experience_years,shipper_rating,success_rate,avg_delivery_time,working_shift,join_date
SHP00054,Nguyễn Quốc Phong,998883340,Female,50,Married,High School,BEST Express,Truck,9,4.7,97.8,56,Evening,2023-03-14
SHP00053,Nguyễn Đức Bình,943102331,Female,54,Single,Bachelor,GHTK,Motorbike,8,4.7,96.8,68,Evening,2018-02-20
SHP00051,Đặng Anh Hà,980366393,Female,42,Single,College,J&T Express,Van,9,4.6,95.1,67,Afternoon,2019-02-16
SHP00061,Lê Anh Quân,956517585,Male,32,Single,High School,GHTK,Motorbike,1,4.8,95.1,74,Evening,2019-12-17
SHP00060,Bùi Thanh Cường,904584927,Male,39,Married,Bachelor,GHTK,Motorbike,11,4.7,95.4,32,Afternoon,2022-11-21
SHP00059,Nguyễn Minh Quân,907366403,Male,55,Single,Bachelor,J&T Express,Van,7,5.0,98.9,50,Evening,2021-05-08
SHP00005,Trần Minh Cường,979196342,Male,31,Married,College,BEST Express,Truck,10,4.6,95.7,62,Morning,2019-12-19
SHP00057,Võ Thị Sơn,937417919,Male,26,Single,Bachelor,GHTK,Motorbike,7,4.6,97.9,53,Evening,2024-02-09
SHP00012,Nguyễn Thị Bình,972210652,Female,49,Single,Bachelor,GHTK,Motorbike,6,4.7,97.2,31,Morning,2023-10-01
SHP00063,Nguyễn Thanh Vy,922698939,Female,38,Married,Bachelor,BEST Express,Truck,8,4.6,96.2,26,Evening,2019-04-28
SHP00062,Trần Văn Sơn,954653513,Female,47,Single,Bachelor,Viettel Post,Truck,1,4.3,98.7,69,Morning,2025-12-16
SHP00014,Lê Gia Vy,971290529,Male,50,Single,Bachelor,J&T Express,Van,8,4.8,96.3,71,Evening,2018-02-10
SHP00065,Nguyễn Quốc Trang,906371317,Male,39,Married,High School,Ahamove,Motorbike,2,4.8,97.9,28,Evening,2023-06-24
SHP00006,Võ Thanh Nam,951235544,Female,41,Married,Bachelor,J&T Express,Van,9,4.7,96.0,41,Afternoon,2024-02-02
SHP00068,Trần Quốc Long,924139334,Male,47,Single,College,Ninja Van,Van,2,4.6,99.8,29,Morning,2025-10-13
SHP00004,Trần Đức Vy,971617475,Female,42,Married,College,Viettel Post,Truck,8,5.0,96.3,53,Evening,2025-12-22
SHP00069,Hoàng Thị Giang,968458783,Female,34,Single,College,GHN,Motorbike,10,4.5,98.5,31,Morning,2019-01-21
SHP00010,Bùi Đức Bình,921691981,Male,31,Single,Bachelor,Ahamove,Motorbike,8,4.5,99.5,44,Evening,2022-08-10
SHP00070,Phạm Anh Cường,913921412,Female,55,Single,College,Viettel Post,Truck,9,4.3,99.4,66,Morning,2024-10-29
SHP00071,Bùi Thị Hà,975678108,Male,34,Married,High School,Ahamove,Motorbike,12,4.7,95.9,26,Afternoon,2023-04-22
SHP00073,Phạm Văn Phong,982262009,Female,51,Married,College,GHTK,Motorbike,8,4.9,98.6,21,Morning,2023-10-28
SHP00072,Trần Đức Hùng,987226165,Male,51,Single,College,Viettel Post,Truck,12,4.6,99.4,21,Morning,2023-07-02
SHP00075,Phạm Anh Hùng,989436113,Female,33,Married,Bachelor,J&T Express,Van,11,4.3,96.7,52,Afternoon,2024-10-03
SHP00076,Trần Thanh Long,933140008,Male,29,Married,Bachelor,BEST Express,Truck,10,4.7,95.1,65,Afternoon,2020-09-25
SHP00078,Đặng Văn Bình,999125359,Female,29,Single,High School,Shopee Express,Motorbike,11,5.0,96.8,38,Evening,2025-09-25
SHP00077,Trần Văn Giang,931398461,Female,38,Married,Bachelor,BEST Express,Truck,9,4.7,99.4,41,Morning,2019-11-11
SHP00079,Đặng Thanh An,993275153,Male,46,Married,Bachelor,Shopee Express,Motorbike,11,4.5,95.9,68,Morning,2018-09-09
